#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
1.166667,8,52.550278
-0.761905,11,52.667376
-9.666667,15,52.802056
-0.904762,5,52.852842
1.214286,10,52.934929
1.142857,7,52.998249
-9.690476,14,53.121938
-9.833333,8,53.20437
1.071429,4,53.253949
1.214286,10,53.355041
1.285714,13,53.518549
1.214286,10,53.635244
-9.666667,15,53.909351
1.142857,7,53.972751
1.166667,8,54.053545
1.071429,4,54.100481
-9.761905,11,54.204934
1.261905,12,54.311163
1.095238,5,54.361021
-0.761905,11,54.491305
-9.690476,14,54.629424
1.190476,9,54.713519
1.285714,13,54.854783
1.285714,13,54.993137
1.190476,9,55.076732
1.166667,8,55.294012
1.190476,9,55.373608
-0.904762,5,55.43959
-0.809524,9,55.526465
-9.761905,11,55.628686
1.261905,12,55.741908
-0.857143,7,55.815045
-9.809524,9,55.907722
1.214286,10,56.004013
-9.785714,10,56.101474
1.214286,10,56.189332
-9.714286,13,56.311205
-9.642857,16,56.607102
1.190476,9,56.728387
1.214286,10,56.816123
1.119048,6,56.874051
-9.785714,10,56.978656
1.142857,7,57.046633
-0.809524,9,57.131405
1.214286,10,57.217981
1.142857,7,57.284275
1.333333,15,57.428143
1.166667,8,57.500392
1.119048,6,57.564494
1.142857,7,57.648071
1.095238,5,57.700896
1.166667,8,57.772385
1.142857,7,57.837358
1.190476,9,58.066235
1.166667,8,58.140233
-0.880952,6,58.191321
1.190476,9,58.267648
1.214286,10,58.35111
1.190476,9,58.436349
1.142857,7,58.503236
1.285714,13,58.638402
-9.738095,12,58.751754
1.238095,11,58.852927
-0.761905,11,58.95837
1.214286,10,59.071893
1.214286,10,59.169745
-9.738095,12,59.438208
-0.857143,7,59.511627
1.214286,10,59.605383
1.190476,9,59.690306
-0.714286,13,59.808297
1.261905,12,59.942541
1.142857,7,60.02161
-0.785714,10,60.144405
1.190476,9,60.22217
-0.738095,12,60.343414
1.261905,12,60.442366
-0.809524,9,60.526455
-0.809524,9,60.606598
-0.809524,9,60.822819
-0.785714,10,60.927153
-9.833333,8,60.996772
1.333333,15,61.154269
1.142857,7,61.222239
1.142857,7,61.288309
1.166667,8,61.365463
-0.761905,11,61.493141
1.190476,9,61.580624
-0.785714,10,61.690381
1.261905,12,61.810672
1.119048,6,61.864558
1.190476,9,61.963074
-9.761905,11,62.209708
1.333333,15,62.348446
-0.833333,8,62.428846
-0.809524,9,62.517219
-9.619048,17,62.670331
1.142857,7,62.74376
1.285714,13,62.864661
1.238095,11,62.982352
1.238095,11,63.085448
1.095238,5,63.132168
1.095238,5,63.205701
1.142857,7,63.266247
-9.785714,10,63.352465
1.095238,5,63.402669
-0.857143,7,63.633187
1.071429,4,63.67584
1.071429,4,63.712872
1.095238,5,63.76256
1.309524,14,63.896119
1.238095,11,64.022942
1.142857,7,64.085429
1.190476,9,64.171166
-0.738095,12,64.283017
1.214286,10,64.384805
1.142857,7,64.443935
1.190476,9,64.521123
1.309524,14,64.646234
1.261905,12,64.75139
1.309524,14,65.072737
-9.761905,11,65.249939
1.190476,9,65.336115
1.238095,11,65.447286
1.333333,15,65.597795
1.166667,8,65.668518
-0.785714,10,65.75653
-0.809524,9,65.838702
1.238095,11,65.931011
1.214286,10,66.024061
1.285714,13,66.140627
1.166667,8,66.213149
-9.809524,9,66.468884
1.095238,5,66.520509
-0.904762,5,66.57
1.190476,9,66.678934
-9.785714,10,66.793516
-0.857143,7,66.860663
1.119048,6,66.928563
1.166667,8,67.012295
-9.738095,12,67.12181
-9.785714,10,67.20882
1.166667,8,67.278508
1.190476,9,67.363549
-9.714286,13,67.503682
1.214286,10,67.602036
-0.714286,13,67.731825
-0.761905,11,67.99744
-0.714286,13,68.11404
1.285714,13,68.235975
-9.761905,11,68.333885
-9.714286,13,68.462495
-9.690476,14,68.590732
1.261905,12,68.727332
-0.761905,11,68.832725
1.214286,10,68.92792
1.214286,10,69.026222
1.238095,11,69.280521
-0.857143,7,69.360038
-9.714286,13,69.480463
1.214286,10,69.573476
1.095238,5,69.630162
1.333333,15,69.771751
-0.785714,10,69.864839
1.238095,11,69.96082
1.095238,5,70.001855
-9.738095,12,70.101894
1.119048,6,70.15127
1.238095,11,70.25295
1.214286,10,70.345921
1.238095,11,70.447023
1.238095,11,70.710508
-0.785714,10,70.803456
1.238095,11,70.917306
1.309524,14,71.063755
-9.785714,10,71.153462
1.071429,4,71.196805
-0.833333,8,71.274717
1.166667,8,71.347988
1.190476,9,71.423797
1.190476,9,71.505778
1.261905,12,71.630839
1.238095,11,71.733526
1.261905,12,71.835128
1.190476,9,72.076007
1.309524,14,72.207461
1.190476,9,72.305057
1.238095,11,72.405001
1.142857,7,72.47337
1.285714,13,72.596963
-9.809524,9,72.687785
-9.714286,13,72.810314
1.190476,9,72.89071
-0.904762,5,72.944386
1.214286,10,73.036354
1.309524,14,73.175525
1.261905,12,73.472888
-9.714286,13,73.577007
1.119048,6,73.643912
1.142857,7,73.723822
-0.738095,12,73.862456
1.309524,14,74.002402
1.190476,9,74.087656
1.309524,14,74.221362
-9.690476,14,74.358073
1.261905,12,74.468077
-0.833333,8,74.54766
-0.904762,5,74.616964
-0.785714,10,74.85703
-0.785714,10,74.977343
1.190476,9,75.053526
1.285714,13,75.173666
1.071429,4,75.211085
-0.833333,8,75.279699
-0.738095,12,75.387787
1.190476,9,75.459208
-9.642857,16,75.593623
1.071429,4,75.628606
-0.857143,7,75.691781
1.261905,12,75.790024
1.238095,11,75.879172
-0.857143,7,75.947045
-9.714286,13,76.450674
1.166667,8,76.712727
1.095238,5,76.873557
1.261905,12,77.105818
1.214286,10,77.407462
-0.738095,12,77.720905
1.071429,4,77.805032
1.261905,12,78.422662
-0.738095,12,78.807857
1.142857,7,78.89449
-0.928571,4,78.954912
-0.738095,12,79.078198
1.166667,8,79.156616
-9.595238,18,79.850139
1.095238,5,80.008104
1.214286,10,80.223654
-9.833333,8,80.380699
-0.738095,12,80.732327
-0.809524,9,80.909219
1.357143,16,81.172695
-0.809524,9,81.333807
1.190476,9,81.464352
-0.809524,9,81.554875
-0.714286,13,81.713267
1.119048,6,81.768332
1.214286,10,81.93183
1.238095,11,82.511167
1.190476,9,82.609527
1.261905,12,82.771624
-0.785714,10,82.895527
-0.857143,7,82.968247
-0.809524,9,83.05102
1.238095,11,83.138945
-9.619048,17,83.277683
1.214286,10,83.35709
1.142857,7,83.41995
-0.833333,8,83.488563
-0.809524,9,83.563161
-0.785714,10,83.65499
1.190476,9,83.870621
1.166667,8,83.941646
1.357143,16,84.075084
1.119048,6,84.125959
1.071429,4,84.159418
1.071429,4,84.195879
-9.833333,8,84.25812
1.285714,13,84.36481
1.214286,10,84.44294
-0.857143,7,84.507258
1.190476,9,84.582205
1.214286,10,84.670443
-0.714286,13,84.776536
-9.880952,6,84.823635
1.095238,5,84.895418
-0.833333,8,85.293725
1.214286,10,85.392557
1.214286,10,85.483621
-0.738095,12,85.588498
1.333333,15,85.737296
-0.857143,7,85.80366
-9.690476,14,85.92626
1.214286,10,86.038808
1.285714,13,86.157657
1.190476,9,86.237795
-9.761905,11,86.338831
-0.880952,6,86.401113
-9.738095,12,86.658051
1.333333,15,86.797203
-0.809524,9,86.875967
1.166667,8,86.957349
1.095238,5,87.007585
-0.833333,8,87.095428
1.071429,4,87.142743
-0.809524,9,87.319398
-0.785714,10,87.594695
1.190476,9,87.718925
1.166667,8,87.832669
1.238095,11,87.990145
1.238095,11,88.222543
-9.738095,12,88.364767
-9.714286,13,88.901964
-0.714286,13,89.103788
-0.904762,5,89.166342
-0.809524,9,89.267178
-0.880952,6,89.337658
1.333333,15,89.499585
-0.904762,5,89.583533
-0.833333,8,89.6692
1.166667,8,89.770157
-0.904762,5,89.827273
-9.642857,16,90.022201
-0.809524,9,90.149693
1.142857,7,90.219825
1.190476,9,90.341916
1.238095,11,90.623911
1.238095,11,90.743481
-0.761905,11,90.853876
1.119048,6,90.922083
1.190476,9,91.018668
1.285714,13,91.177555
-0.809524,9,91.272894
1.214286,10,91.384953
1.119048,6,91.440329
1.261905,12,91.551431
-0.833333,8,91.653436
-0.809524,9,91.771949
1.166667,8,91.844795
-0.857143,7,91.923671
1.142857,7,92.145011
1.142857,7,92.217989
-9.619048,17,92.383786
-0.857143,7,92.447469
1.214286,10,92.543607
-0.857143,7,92.643073
1.238095,11,92.765036
-0.880952,6,92.831939
1.309524,14,92.964689
1.190476,9,93.049427
1.238095,11,93.211084
-0.761905,11,93.311245
1.285714,13,93.433256
-0.833333,8,93.662433
-0.714286,13,93.782094
1.166667,8,93.859938
1.261905,12,93.962446
1.285714,13,94.086191
1.190476,9,94.163892
-9.642857,16,94.291572
1.238095,11,94.382175
-0.904762,5,94.433884
-0.904762,5,94.482565
1.261905,12,94.580849
1.214286,10,94.679287
1.119048,6,94.731406
1.190476,9,94.955001
1.214286,10,95.053615
-0.857143,7,95.129394
1.309524,14,95.258102
1.214286,10,95.361671
1.119048,6,95.433143
1.261905,12,95.553145
-0.880952,6,95.618702
-9.809524,9,95.694649
1.238095,11,95.792589
1.285714,13,95.93205
1.261905,12,96.040903
1.238095,11,96.292843
-9.690476,14,96.422343
1.285714,13,96.555615
-0.666667,15,96.699453
-0.761905,11,96.800611
1.309524,14,96.929784
1.119048,6,97.00095
1.166667,8,97.093406
1.333333,15,97.238065
1.357143,16,97.385243
1.095238,5,97.441306
1.238095,11,97.724965
-0.857143,7,97.793942
1.214286,10,97.88908
1.142857,7,97.958064
1.214286,10,98.050491
-0.761905,11,98.142697
1.238095,11,98.227825
1.119048,6,98.287237
1.238095,11,98.373145
-0.785714,10,98.458697
-0.857143,7,98.524659
-0.761905,11,98.63162
1.261905,12,98.739406
-0.785714,10,98.843944
1.119048,6,99.04971
1.357143,16,99.224448
1.166667,8,99.299077
1.071429,4,99.339489
-9.642857,16,99.500981
1.285714,13,99.649415
1.166667,8,99.739241
-0.785714,10,99.841799
-0.833333,8,99.932172
1.261905,12,100.065629
1.166667,8,100.145255
